name,code
apple inc.,aapl
microsoft corporation,msft
alphabet (google),goog
amazon,amzn
nvidia corporation,nvda
tesla,tsla
meta platforms,meta
broadcom inc.,avgo
oracle corporation,orcl
cisco systems inc.,csco
salesforce inc.,crm
adobe inc.,adbe
texas instruments inc.,txn
advanced micro devices (amd) inc.,amd
qualcomm inc.,qcom
netflix,nflx
intel corporation,intc
intuit inc.,intu
ibm corporation,ibm
applied materials inc.,amat
booking holdings,bkng
analog devices inc.,adi
servicenow inc.,now
automatic data processing,adp
paypal holdings inc.,pypl
airbnb,abnb
fiserv inc.,fisv
lam research corporation,lrcx
uber technologies inc.,uber
micron technology,mu
equinix,eqix
activision blizzard,atvi
palo alto networks inc.,panw
synopsys inc.,snps
cadence design systems inc.,cdns
kla corporation,klac
arista networks inc.,anet
vmware inc.,vmw
workday inc.,wday
fortinet inc.,ftnt
block inc.,sq
snowflake inc.,snow
roper technologies,rop
microchip technology inc.,mchp
autodesk inc.,adsk
globalfoundries,gfs
iqvia holdings,iqv
marvell technology inc.,mrvl
dell technologies inc.,dell
hp inc.,hpq
